,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Portland,US,45.5234,-122.6762,41.77,67,0,1.01,clear sky
79,Saint-Philippe,RE,-21.3585,55.7679,78.12,76,0,4.76,clear sky
80,Olbia,IT,40.9214,9.4856,45.16,91,33,3.53,scattered clouds
81,Atuona,PF,-9.8,-139.0333,77.67,78,5,13.22,clear sky
82,Coromandel,BR,-18.4733,-47.2003,64.9,91,99,3.09,overcast clouds
83,Kangaatsiaq,GL,68.3065,-53.4641,12.56,88,80,15.19,light snow
84,Alofi,NU,-19.0595,-169.9187,75.09,94,60,6.91,broken clouds
85,Jeremie,HT,18.65,-74.1167,75.83,80,22,6.11,few clouds
86,Mehran,IR,33.1222,46.1646,42.28,56,100,5.59,overcast clouds
87,Vanimo,PG,-2.6741,141.3028,83.28,73,94,5.44,overcast clouds
88,Upernavik,GL,72.7868,-56.1549,7.47,71,100,2.51,overcast clouds
89,Chernyshevskiy,RU,63.0128,112.4714,-16.69,97,35,2.82,scattered clouds
90,Mahon,ES,39.8885,4.2658,46.96,76,0,8.05,clear sky
91,Khatanga,RU,71.9667,102.5,-5.84,94,100,6.44,overcast clouds
92,Mahebourg,MU,-20.4081,57.7,83.25,94,40,1.14,scattered clouds
93,Kruisfontein,ZA,-34.0033,24.7314,62.89,86,95,0.67,light rain
94,Port Lincoln,AU,-34.7333,135.8667,71.82,65,89,15.28,overcast clouds
95,Ocampo,MX,21.65,-101.5,44.55,90,23,14.92,few clouds
96,Sabang,ID,5.8933,95.3214,82.38,76,16,10.71,few clouds
97,Waingapu,ID,-9.6567,120.2641,86.5,66,99,11.97,overcast clouds
98,Pevek,RU,69.7008,170.3133,-10.75,98,100,1.77,overcast clouds
99,Nabire,ID,-3.3667,135.4833,85.71,65,97,5.35,overcast clouds
100,Puerto Colombia,CO,10.9878,-74.9547,78.89,85,44,24.9,scattered clouds
101,Carauari,BR,-4.8828,-66.8958,73.47,98,100,2.26,overcast clouds
102,Jesup,US,31.6074,-81.8854,46.51,57,75,16.11,broken clouds
103,Preobrazheniye,RU,42.9019,133.9064,15.37,43,28,12.55,scattered clouds
104,Saint George,US,37.1041,-113.5841,52.27,25,0,1.99,clear sky
105,Tasiilaq,GL,65.6145,-37.6368,14.16,68,54,6.31,broken clouds
106,Santa Isabel,BR,-23.3156,-46.2214,69.1,99,100,1.01,overcast clouds
107,Cherskiy,RU,68.75,161.3,-10.23,94,100,5.06,overcast clouds
108,Lasa,IT,46.6166,10.7002,34.68,61,52,7.85,broken clouds
109,Ranong,TH,9.9658,98.6348,85.93,57,3,1.7,clear sky
110,Kichera,RU,55.9375,110.0997,-0.56,82,14,2.75,few clouds
111,Cabedelo,BR,-6.9811,-34.8339,74.07,78,100,9.42,light rain
112,Sosnytsya,UA,51.5239,32.4999,31.35,99,100,8.03,light snow
113,Poum,NC,-20.2333,164.0167,83.07,73,80,9.75,broken clouds
114,Ojinaga,MX,29.5667,-104.4167,49.41,39,0,6.91,clear sky
115,Bambous Virieux,MU,-20.3428,57.7575,83.21,94,40,1.14,scattered clouds
116,Rancagua,CL,-34.1708,-70.7444,48.36,73,0,2.39,clear sky
117,Balsas,BR,-7.5325,-46.0356,70.93,94,93,3.27,overcast clouds
118,Ponta Delgada,PT,37.7333,-25.6667,58.5,77,40,8.05,scattered clouds
119,Pisco,PE,-13.7,-76.2167,69.85,73,0,3.44,clear sky
120,Lagoa,PT,39.05,-27.9833,57.92,56,18,13.53,few clouds
121,Provideniya,RU,64.3833,-173.3,-0.27,97,16,3.18,few clouds
122,Port Alfred,ZA,-33.5906,26.891,66.38,81,87,6.22,light rain
123,Kon Tum,VN,14.35,108.0,82.13,48,31,1.57,scattered clouds
124,Puerto Del Rosario,ES,28.5004,-13.8627,65.88,77,0,14.97,clear sky
125,Amapa,BR,1.0,-52.0,70.77,99,74,1.7,moderate rain
126,Ferrol,ES,43.4832,-8.2369,43.5,78,0,6.69,clear sky
127,Kedrovyy,RU,56.1667,91.8167,-14.39,99,54,3.58,broken clouds
128,Aklavik,CA,68.2191,-135.0107,-19.37,89,6,5.64,clear sky
129,Tyazhinskiy,RU,56.116,88.524,-2.22,96,99,4.21,overcast clouds
130,Narsaq,GL,60.9167,-46.05,19.62,96,100,3.91,snow
131,Danielskuil,ZA,-28.1887,23.5395,67.89,53,26,6.38,scattered clouds
132,Ribeira Grande,PT,38.5167,-28.7,58.41,60,57,5.82,broken clouds
133,Sao Filipe,CV,14.8961,-24.4956,70.68,71,82,11.32,broken clouds
134,Yerbogachen,RU,61.2767,108.0108,-15.41,99,98,4.61,overcast clouds
135,Chilca,PE,-12.5211,-76.7372,72.61,85,100,6.22,overcast clouds
136,Leningradskiy,RU,69.3833,178.4167,-11.33,93,38,3.04,scattered clouds
137,Palmer,US,42.1584,-72.3287,31.08,71,100,5.75,overcast clouds
138,Vila Franca Do Campo,PT,37.7167,-25.4333,58.19,86,32,8.9,scattered clouds
139,Kununurra,AU,-15.7667,128.7333,91.38,62,40,12.66,scattered clouds
140,Junin,AR,-34.5838,-60.9433,61.29,72,0,8.5,clear sky
141,Berlevag,NO,70.8578,29.0864,29.71,60,100,12.26,overcast clouds
142,Virginia Beach,US,36.8529,-75.978,35.65,93,100,18.41,snow
143,Hami,CN,42.8,93.45,22.75,48,1,4.68,clear sky
144,San Vicente,AR,-26.6167,-54.1333,62.71,90,28,4.43,scattered clouds
145,Ancud,CL,-41.8697,-73.8203,56.73,84,0,3.71,clear sky
146,Zheleznodorozhnyy,RU,55.7503,38.0042,21.72,96,100,4.47,snow
147,Hilo,US,19.7297,-155.09,76.73,73,100,10.36,overcast clouds
148,Fare,PF,-16.7,-151.0167,81.73,73,0,16.55,clear sky
149,Georgetown,MY,5.4112,100.3354,89.53,78,20,3.44,haze
150,Basco,PH,20.4487,121.9702,75.97,76,79,22.44,broken clouds
151,Lichuan,CN,30.3,108.85,32.45,92,100,1.61,light snow
152,Laguna,US,38.421,-121.4238,55.31,74,0,0.0,clear sky
153,Goderich,CA,43.7501,-81.7165,0.91,78,86,8.05,overcast clouds
154,Tamboril,DO,19.4854,-70.611,74.17,94,40,4.61,scattered clouds
155,Tabuk,PH,17.4189,121.4443,79.48,79,100,2.73,overcast clouds
156,Hamina,FI,60.5697,27.1979,20.48,98,42,3.74,scattered clouds
157,Bathsheba,BB,13.2167,-59.5167,75.06,83,20,8.05,few clouds
158,Ishigaki,JP,24.3448,124.1572,69.93,94,75,3.44,broken clouds
159,Avarua,CK,-21.2078,-159.775,80.65,78,40,9.22,scattered clouds
160,Paragominas,BR,-2.9667,-47.4833,70.56,99,100,2.73,overcast clouds
161,Kodinsk,RU,58.6881,99.1844,-7.06,100,98,3.4,overcast clouds
162,Karasjok,NO,69.4719,25.5112,1.51,99,97,2.71,overcast clouds
163,Taguatinga,BR,-12.3857,-46.5711,69.78,92,95,2.35,overcast clouds
164,Suhut,TR,38.5311,30.5458,12.27,64,18,2.37,few clouds
165,Carutapera,BR,-1.195,-46.02,75.25,90,100,10.07,moderate rain
166,Tateyama,JP,34.9833,139.8667,50.27,79,100,8.97,overcast clouds
167,Beloha,MG,-25.1667,45.05,69.66,80,1,5.7,clear sky
168,Itaituba,BR,-4.2761,-55.9836,74.14,94,100,0.83,light rain
169,Jiangyou,CN,31.7667,104.7167,43.41,74,47,4.25,scattered clouds
170,Morgan City,US,29.6994,-91.2068,42.01,70,0,0.0,clear sky
171,Gat,IL,31.61,34.7642,49.41,100,98,7.16,overcast clouds
172,Waw,SS,7.7029,27.9953,65.43,25,60,4.7,broken clouds
173,Coahuayana,MX,18.7333,-103.6833,70.61,83,54,2.89,broken clouds
174,Iberia,US,29.9502,-91.7507,46.47,56,0,5.75,clear sky
175,Iqaluit,CA,63.7506,-68.5145,-22.27,69,40,14.97,scattered clouds
176,Sisimiut,GL,66.9395,-53.6735,15.75,86,100,34.09,light snow
177,Christchurch,NZ,-43.5333,172.6333,90.03,67,96,7.0,overcast clouds
178,Ust-Nera,RU,64.5667,143.2,-6.63,99,100,1.66,overcast clouds
179,Dalvik,IS,65.9702,-18.5286,24.73,95,96,9.46,snow
180,Havoysund,NO,70.9963,24.6622,16.68,78,87,8.5,overcast clouds
181,Novopetrovskoye,RU,55.9928,36.4719,20.41,98,100,2.46,overcast clouds
182,Carnarvon,AU,-24.8667,113.6333,89.67,48,1,16.11,clear sky
183,Zhob,PK,31.3411,69.4481,44.96,43,2,0.87,clear sky
184,Kaitangata,NZ,-46.2817,169.8464,63.93,72,99,4.29,overcast clouds
185,Barkhan,PK,29.8977,69.5256,47.01,40,1,2.48,clear sky
186,Launceston,AU,-41.45,147.1667,82.62,52,53,7.0,broken clouds
187,Rosetta,EG,31.4044,30.4164,53.47,72,11,6.67,few clouds
188,Sorong,ID,-0.8833,131.25,81.75,80,93,7.56,overcast clouds
189,College,US,64.8569,-147.8028,3.52,62,75,6.91,broken clouds
190,Urumqi,CN,43.801,87.6005,-4.85,84,40,2.24,mist
191,Teguise,ES,29.0605,-13.564,62.82,63,100,17.27,haze
192,Airai,TL,-8.9266,125.4092,71.76,60,100,5.66,overcast clouds
193,Zhangye,CN,38.9342,100.4517,29.34,20,0,3.04,clear sky
194,Talnakh,RU,69.4865,88.3972,-0.8,95,100,10.4,overcast clouds
195,Vila Velha,BR,-20.3297,-40.2925,78.75,83,0,1.01,clear sky
196,Alice Springs,AU,-23.7,133.8833,78.35,89,75,9.22,light intensity shower rain
197,Visnes,NO,59.3556,5.2242,47.82,100,100,25.32,light rain
198,Zinder,NE,13.8072,8.9881,58.69,13,0,12.88,clear sky
199,Hualmay,PE,-11.0964,-77.6139,69.82,83,100,7.43,overcast clouds
200,Saint-Pierre,RE,-21.3393,55.4781,78.19,65,0,3.44,clear sky
201,Salalah,OM,17.0151,54.0924,69.89,49,0,5.75,clear sky
202,Timiryazevskiy,RU,56.49,84.8769,2.35,82,100,4.38,overcast clouds
203,Barcelona,ES,41.3888,2.159,51.91,53,0,7.0,clear sky
204,Kandi,BJ,11.1342,2.9386,70.43,21,2,7.63,clear sky
205,Adrar,MR,20.5022,-10.0711,71.06,12,100,4.21,overcast clouds
206,Hyeres,FR,43.1167,6.1167,43.34,93,0,5.75,clear sky
207,Rio Bravo,MX,25.9833,-98.1,52.93,54,100,7.9,overcast clouds
208,Abonnema,NG,4.7084,6.7931,76.69,85,99,3.98,overcast clouds
209,Lorengau,PG,-2.0226,147.2712,81.97,76,100,2.3,overcast clouds
210,Dwarka,IN,22.2394,68.9678,66.85,50,0,9.22,clear sky
211,Meulaboh,ID,4.1363,96.1285,81.45,83,69,2.95,broken clouds
212,Tuatapere,NZ,-46.1333,167.6833,66.81,43,100,4.27,overcast clouds
213,Thunder Bay,CA,48.4001,-89.3168,3.18,72,75,3.44,broken clouds
214,Ilulissat,GL,69.2167,-51.1,23.02,50,100,17.27,overcast clouds
215,Duvan,RU,55.695,57.9024,-0.49,99,97,0.85,overcast clouds
216,San Cristobal,VE,7.7669,-72.225,69.98,83,5,3.38,clear sky
217,Cirebon,ID,-6.7063,108.557,83.89,71,97,6.6,overcast clouds
218,La Libertad,EC,-2.2333,-80.9,74.82,84,100,3.22,overcast clouds
219,Sur,OM,22.5667,59.5289,68.65,53,0,3.74,clear sky
220,Kajaani,FI,64.2273,27.7285,14.05,92,0,9.22,clear sky
221,Yenagoa,NG,4.9247,6.2642,74.97,90,95,1.99,overcast clouds
222,Kemijarvi,FI,66.7131,27.4306,2.53,98,77,3.36,broken clouds
223,Yumen,CN,40.2833,97.2,23.45,36,4,8.21,clear sky
224,Jawhar,SO,2.7809,45.5005,71.94,76,99,13.33,overcast clouds
225,Capivari,BR,-22.995,-47.5078,72.61,97,100,4.38,overcast clouds
226,Rawson,AR,-43.3002,-65.1023,67.28,81,66,13.13,broken clouds
227,Strezhevoy,RU,60.7333,77.5889,-9.02,100,93,4.07,overcast clouds
228,Goundam,ML,16.4145,-3.6708,66.56,18,30,11.03,scattered clouds
229,Quelimane,MZ,-17.8786,36.8883,78.75,89,75,2.3,broken clouds
230,Douentza,ML,14.9951,-2.9517,66.63,21,2,4.36,clear sky
231,Klaksvik,FO,62.2266,-6.589,40.12,96,100,18.41,overcast clouds
232,Narrabri,AU,-30.3167,149.7833,87.53,57,38,1.99,scattered clouds
233,Mount Isa,AU,-20.7333,139.5,74.97,100,75,9.22,shower rain
234,Port Augusta,AU,-32.5,137.7667,94.71,34,0,14.88,clear sky
235,Margate,GB,51.3813,1.3862,50.76,86,37,4.0,scattered clouds
236,Broome,US,42.2506,-75.833,14.97,80,100,1.99,overcast clouds
237,Fortuna,US,40.5982,-124.1573,47.32,83,0,5.75,clear sky
238,Smolenka,RU,52.1352,113.4974,-12.93,70,67,2.24,broken clouds
